id,fecha,hora,lluvia_mm,tasa_mm_hr
4701,2026-06-05,06:30:00,0.0,0.0
4702,2026-06-05,06:45:00,0.0,0.0
4703,2026-06-05,07:00:00,0.0,0.0
4704,2026-06-05,07:15:00,0.0,0.0
4705,2026-06-05,07:30:00,0.0,0.0
4706,2026-06-05,07:45:00,0.0,0.0
4707,2026-06-05,08:00:00,0.0,0.0
4708,2026-06-05,08:15:00,0.0,0.0
4709,2026-06-05,08:30:00,0.0,0.0
4710,2026-06-05,08:45:00,0.0,0.0
4711,2026-06-05,09:00:00,0.0,0.0
4712,2026-06-05,09:15:00,0.0,0.0
4713,2026-06-05,09:30:00,0.0,0.0
4714,2026-06-05,09:45:00,0.0,0.0
4715,2026-06-05,10:00:00,0.0,0.0
4716,2026-06-05,10:15:00,0.0,0.0
4717,2026-06-05,10:30:00,0.0,0.0
4718,2026-06-05,10:45:00,0.0,0.0
4719,2026-06-05,11:00:00,0.0,0.0
4720,2026-06-05,11:15:00,0.0,0.0
4721,2026-06-05,11:30:00,0.0,0.0
4722,2026-06-05,11:45:00,0.0,0.0
4723,2026-06-05,12:00:00,0.0,0.0
4724,2026-06-05,12:15:00,0.0,0.0
4725,2026-06-05,12:30:00,0.0,0.0
4726,2026-06-05,12:45:00,0.0,0.0
4727,2026-06-05,13:00:00,0.0,0.0
4728,2026-06-05,13:15:00,0.0,0.0
4729,2026-06-05,13:30:00,0.0,0.0
4730,2026-06-05,13:45:00,0.0,0.0
4731,2026-06-05,14:00:00,0.0,0.0
4732,2026-06-05,14:15:00,0.0,0.0
4733,2026-06-05,14:30:00,0.0,0.0
4734,2026-06-05,14:45:00,0.0,0.0
4735,2026-06-05,15:00:00,0.0,0.0
4736,2026-06-05,15:15:00,0.0,0.0
4737,2026-06-05,15:30:00,0.0,0.0
4738,2026-06-05,15:45:00,0.0,0.0
4739,2026-06-05,16:00:00,0.0,0.0
4740,2026-06-05,16:15:00,0.0,0.0
4741,2026-06-05,16:30:00,3.2,48.8
4742,2026-06-05,16:45:00,5.2,55.6
4743,2026-06-05,17:00:00,3.2,28.2
4744,2026-06-05,17:15:00,1.2,18.2
4745,2026-06-05,17:30:00,0.2,1.8
4746,2026-06-05,17:45:00,0.2,2.6
4747,2026-06-05,18:00:00,0.0,0.0
4748,2026-06-05,18:15:00,0.0,0.0
4749,2026-06-05,18:30:00,0.0,0.0
4750,2026-06-05,18:45:00,0.2,15.0
4751,2026-06-05,19:00:00,0.6,15.0
4752,2026-06-05,19:15:00,0.0,0.0
4753,2026-06-05,19:30:00,0.0,0.0
4754,2026-06-05,19:45:00,0.0,0.0
4755,2026-06-05,20:00:00,0.0,0.0
4756,2026-06-05,20:15:00,0.0,0.0
4757,2026-06-05,20:30:00,0.0,0.0
4758,2026-06-05,20:45:00,0.0,0.0
4759,2026-06-05,21:00:00,0.0,0.0
4760,2026-06-05,21:15:00,0.0,0.0
4761,2026-06-05,21:30:00,0.0,0.0
4762,2026-06-05,21:45:00,0.0,0.0
4763,2026-06-05,22:00:00,0.0,0.0
4764,2026-06-05,22:15:00,0.0,0.0
4765,2026-06-05,22:30:00,0.0,0.0
4766,2026-06-05,22:45:00,0.0,0.0
4767,2026-06-05,23:00:00,0.0,0.0
4768,2026-06-05,23:15:00,0.0,0.0
4769,2026-06-05,23:30:00,0.0,0.0
4770,2026-06-05,23:45:00,0.0,0.0
4771,2026-06-06,00:15:00,0.0,0.0
4772,2026-06-06,00:30:00,0.0,0.0
4773,2026-06-06,00:45:00,0.0,0.0
4774,2026-06-06,01:00:00,0.0,0.0
4775,2026-06-06,01:15:00,0.0,0.0
4776,2026-06-06,01:30:00,0.0,0.0
4777,2026-06-06,01:45:00,0.0,0.0
4778,2026-06-06,02:00:00,0.0,0.0
4779,2026-06-06,02:15:00,0.0,0.0
4780,2026-06-06,02:30:00,0.0,0.0
4781,2026-06-06,02:45:00,0.0,0.0
4782,2026-06-06,03:00:00,0.0,0.0
4783,2026-06-06,03:15:00,0.0,0.0
4784,2026-06-06,03:30:00,0.0,0.0
4785,2026-06-06,03:45:00,0.0,0.0
4786,2026-06-06,04:00:00,0.0,0.0
4787,2026-06-06,04:15:00,0.0,0.0
4788,2026-06-06,04:30:00,0.0,0.0
4789,2026-06-06,04:45:00,0.0,0.0
4790,2026-06-06,05:00:00,0.0,0.0
4791,2026-06-06,05:15:00,0.0,0.0
4792,2026-06-06,05:30:00,0.0,0.0
4793,2026-06-06,05:45:00,0.0,0.0
4794,2026-06-06,06:00:00,0.0,0.0
4795,2026-06-06,06:15:00,0.0,0.0
4796,2026-06-06,06:30:00,0.0,0.0
4797,2026-06-06,06:45:00,0.0,0.0
4798,2026-06-06,07:00:00,0.0,0.0
4799,2026-06-06,07:15:00,0.0,0.0
4800,2026-06-06,07:30:00,0.0,0.0
4801,2026-06-06,07:45:00,0.0,0.0
4802,2026-06-06,08:00:00,0.0,0.0
4803,2026-06-06,08:15:00,0.0,0.0
4804,2026-06-06,08:30:00,0.0,0.0
4805,2026-06-06,08:45:00,0.0,0.0
4806,2026-06-06,09:00:00,0.0,0.0
4807,2026-06-06,09:15:00,0.0,0.0
4808,2026-06-06,09:30:00,0.0,0.0
4809,2026-06-06,09:45:00,0.0,0.0
4810,2026-06-06,10:00:00,0.0,0.0
4811,2026-06-06,10:15:00,0.0,0.0
4812,2026-06-06,10:30:00,0.0,0.0
4813,2026-06-06,10:45:00,0.0,0.0
4814,2026-06-06,11:00:00,0.0,0.0
4815,2026-06-06,11:15:00,0.0,0.0
4816,2026-06-06,11:30:00,0.0,0.0
4817,2026-06-06,11:45:00,0.0,0.0
4818,2026-06-06,12:00:00,0.0,0.0
4819,2026-06-06,12:15:00,0.2,0.0
4820,2026-06-06,12:30:00,0.2,4.4
4821,2026-06-06,12:45:00,0.0,0.0
4822,2026-06-06,13:00:00,0.0,0.0
4823,2026-06-06,13:15:00,0.0,0.0
4824,2026-06-06,13:30:00,0.0,0.0
4825,2026-06-06,13:45:00,3.4,39.4
4826,2026-06-06,14:00:00,0.2,5.4
4827,2026-06-06,14:15:00,0.0,0.0
4828,2026-06-06,14:30:00,0.0,0.0
4829,2026-06-06,14:45:00,0.0,0.0
4830,2026-06-06,15:00:00,0.0,0.0
4831,2026-06-06,15:15:00,0.0,0.0
4832,2026-06-06,15:30:00,0.0,0.0
4833,2026-06-06,15:45:00,0.0,0.0
4834,2026-06-06,16:00:00,0.0,0.0
4835,2026-06-06,16:15:00,0.0,0.0
4836,2026-06-06,16:30:00,0.0,0.0
4837,2026-06-06,16:45:00,0.0,0.0
4838,2026-06-06,17:00:00,0.0,0.0
4839,2026-06-06,17:15:00,0.0,0.0
4840,2026-06-06,17:30:00,0.0,0.0
4841,2026-06-06,17:45:00,0.0,0.0
4842,2026-06-06,18:00:00,0.0,0.0
4843,2026-06-06,18:15:00,0.0,0.0
4844,2026-06-06,18:30:00,0.0,0.0
4845,2026-06-06,18:45:00,0.0,0.0
4846,2026-06-06,19:00:00,0.0,0.0
4847,2026-06-06,19:15:00,0.6,5.2
4848,2026-06-06,19:30:00,0.2,2.8
4849,2026-06-06,19:45:00,0.2,1.2
4850,2026-06-06,20:00:00,0.8,4.0
4851,2026-06-06,20:15:00,0.4,5.2
4852,2026-06-06,20:30:00,0.8,3.2
4853,2026-06-06,20:45:00,0.8,6.0
4854,2026-06-06,21:00:00,0.4,6.0
4855,2026-06-06,21:15:00,0.2,1.4
4856,2026-06-06,21:30:00,0.2,1.0
4857,2026-06-06,21:45:00,0.0,0.0
4858,2026-06-06,22:00:00,0.2,0.0
4859,2026-06-06,22:15:00,0.2,0.0
4860,2026-06-06,22:30:00,0.2,1.0
4861,2026-06-06,22:45:00,0.2,1.0
4862,2026-06-06,23:00:00,0.2,0.8
4863,2026-06-06,23:15:00,0.0,0.0
4864,2026-06-06,23:30:00,0.0,0.0
4865,2026-06-06,23:45:00,0.0,0.0
4866,2026-06-07,00:15:00,0.0,0.0
4867,2026-06-07,00:30:00,0.0,0.0
4868,2026-06-07,00:45:00,0.0,0.0
4869,2026-06-07,01:00:00,0.0,0.0
4870,2026-06-07,01:15:00,0.0,0.0
4871,2026-06-07,01:30:00,0.2,0.0
4872,2026-06-07,01:45:00,0.0,0.0
4873,2026-06-07,02:00:00,0.0,0.0
4874,2026-06-07,02:15:00,0.0,0.0
4875,2026-06-07,02:30:00,0.0,0.0
4876,2026-06-07,02:45:00,0.0,0.0
4877,2026-06-07,03:00:00,0.0,0.0
4878,2026-06-07,03:15:00,0.0,0.0
4879,2026-06-07,03:30:00,0.0,0.0
4880,2026-06-07,03:45:00,0.0,0.0
4881,2026-06-07,04:00:00,0.0,0.0
4882,2026-06-07,04:15:00,0.0,0.0
4883,2026-06-07,04:30:00,0.0,0.0
4884,2026-06-07,04:45:00,0.0,0.0
4885,2026-06-07,05:00:00,0.0,0.0
4886,2026-06-07,05:15:00,0.0,0.0
4887,2026-06-07,05:30:00,0.0,0.0
4888,2026-06-07,05:45:00,0.0,0.0
4889,2026-06-07,06:00:00,0.0,0.0
4890,2026-06-07,06:15:00,0.0,0.0
4891,2026-06-07,06:30:00,0.0,0.0
4892,2026-06-07,06:45:00,0.0,0.0
4893,2026-06-07,07:00:00,0.0,0.0
4894,2026-06-07,07:15:00,0.0,0.0
4895,2026-06-07,07:30:00,0.0,0.0
4896,2026-06-07,07:45:00,0.0,0.0
4897,2026-06-07,08:00:00,0.0,0.0
4898,2026-06-07,08:15:00,0.0,0.0
4899,2026-06-07,08:30:00,0.0,0.0
4900,2026-06-07,08:45:00,0.0,0.0
4901,2026-06-07,09:00:00,0.0,0.0
4902,2026-06-07,09:15:00,0.0,0.0
4903,2026-06-07,09:30:00,0.0,0.0
4904,2026-06-07,09:45:00,0.0,0.0
4905,2026-06-07,10:00:00,0.0,0.0
4906,2026-06-07,10:15:00,0.0,0.0
4907,2026-06-07,10:30:00,0.0,0.0
4908,2026-06-07,10:45:00,0.0,0.0
4909,2026-06-07,11:00:00,0.0,0.0
4910,2026-06-07,11:15:00,0.0,0.0
4911,2026-06-07,11:30:00,0.0,0.0
4912,2026-06-07,11:45:00,0.0,0.0
4913,2026-06-07,12:00:00,0.0,0.0
4914,2026-06-07,12:15:00,0.0,0.0
4915,2026-06-07,12:30:00,0.0,0.0
4916,2026-06-07,12:45:00,0.0,0.0
4917,2026-06-07,13:00:00,0.0,0.0
4918,2026-06-07,13:15:00,0.0,0.0
4919,2026-06-07,13:30:00,0.0,0.0
4920,2026-06-07,13:45:00,0.0,0.0
4921,2026-06-07,14:00:00,0.0,0.0
4922,2026-06-07,14:15:00,0.0,0.0
4923,2026-06-07,14:30:00,0.0,0.0
4924,2026-06-07,14:45:00,0.0,0.0
4925,2026-06-07,15:00:00,0.0,0.0
4926,2026-06-07,15:15:00,0.0,0.0
4927,2026-06-07,15:30:00,0.0,0.0
4928,2026-06-07,15:45:00,0.0,0.0
4929,2026-06-07,16:00:00,0.0,0.0
4930,2026-06-07,16:15:00,0.0,0.0
4931,2026-06-07,16:30:00,0.2,0.0
4932,2026-06-07,16:45:00,0.4,1.6
4933,2026-06-07,17:00:00,0.2,1.6
4934,2026-06-07,17:15:00,0.0,0.0
4935,2026-06-07,17:30:00,0.0,0.0
4936,2026-06-07,17:45:00,0.0,0.0
4937,2026-06-07,18:00:00,0.0,0.0
4938,2026-06-07,18:15:00,0.0,0.0
4939,2026-06-07,18:30:00,0.0,0.0
4940,2026-06-07,18:45:00,0.0,0.0
4941,2026-06-07,19:00:00,0.0,0.0
4942,2026-06-07,19:15:00,0.4,2.0
4943,2026-06-07,19:30:00,2.0,17.4
4944,2026-06-07,19:45:00,0.8,11.8
4945,2026-06-07,20:00:00,0.4,2.2
4946,2026-06-07,20:15:00,0.6,2.4
4947,2026-06-07,20:30:00,0.2,2.4
4948,2026-06-07,20:45:00,0.6,1.8
4949,2026-06-07,21:00:00,0.4,2.2
4950,2026-06-07,21:15:00,0.0,0.0
4951,2026-06-07,21:30:00,0.2,0.0
4952,2026-06-07,21:45:00,0.0,0.0
4953,2026-06-07,22:00:00,0.0,0.0
