id,fecha,hora,velocidad_kmh,rafaga_kmh,direccion,direccion_rafaga
4439,2026-06-02,12:15:00,1.6,8.0,NE,NNE
4440,2026-06-02,12:30:00,3.2,11.3,NNW,NE
4441,2026-06-02,12:45:00,3.2,11.3,WNW,NW
4442,2026-06-02,13:00:00,4.8,16.1,NNW,NW
4443,2026-06-02,13:15:00,3.2,16.1,NNW,NNW
4444,2026-06-02,13:30:00,3.2,8.0,NW,WNW
4445,2026-06-02,13:45:00,3.2,9.7,NW,NNW
4446,2026-06-02,14:00:00,1.6,11.3,WSW,NW
4447,2026-06-02,14:15:00,3.2,12.9,WSW,NNE
4448,2026-06-02,14:30:00,4.8,14.5,NW,NW
4449,2026-06-02,14:45:00,1.6,11.3,WNW,NW
4450,2026-06-02,15:00:00,3.2,12.9,NW,NW
4451,2026-06-02,15:15:00,3.2,12.9,NW,NW
4452,2026-06-02,15:30:00,1.6,12.9,WSW,ENE
4453,2026-06-02,15:45:00,3.2,14.5,NNW,NNW
4454,2026-06-02,16:00:00,3.2,12.9,NW,NW
4455,2026-06-02,16:15:00,4.8,11.3,N,NW
4456,2026-06-02,16:30:00,4.8,17.7,NW,NW
4457,2026-06-02,16:45:00,4.8,12.9,NW,NW
4458,2026-06-02,17:00:00,3.2,11.3,NW,N
4459,2026-06-02,17:15:00,6.4,19.3,N,NNE
4460,2026-06-02,17:30:00,8.0,22.5,NNW,NNE
4461,2026-06-02,17:45:00,6.4,22.5,NNW,NNE
4462,2026-06-02,18:00:00,6.4,20.9,NNW,NNE
4463,2026-06-02,18:15:00,3.2,11.3,NNE,NNE
4464,2026-06-02,18:30:00,3.2,16.1,NNE,NNE
4465,2026-06-02,18:45:00,0.0,8.0,SE,ENE
4466,2026-06-02,19:00:00,0.0,6.4,SSW,SE
4467,2026-06-02,19:15:00,0.0,3.2,NE,NE
4468,2026-06-02,19:30:00,0.0,3.2,S,S
4469,2026-06-02,19:45:00,0.0,3.2,N,NW
4470,2026-06-02,20:00:00,0.0,8.0,NNE,NE
4471,2026-06-02,20:15:00,0.0,6.4,N,NE
4472,2026-06-02,20:30:00,0.0,6.4,NW,N
4473,2026-06-02,20:45:00,1.6,9.7,N,NNW
4474,2026-06-02,21:00:00,3.2,14.5,N,NNE
4475,2026-06-02,21:15:00,1.6,12.9,NW,NNW
4476,2026-06-02,21:30:00,1.6,6.4,NNW,NE
4477,2026-06-02,21:45:00,1.6,12.9,NW,NNE
4478,2026-06-02,22:00:00,3.2,11.3,WNW,NW
4479,2026-06-02,22:15:00,0.0,6.4,NE,NE
4480,2026-06-02,22:30:00,0.0,4.8,NW,NNE
4481,2026-06-02,22:45:00,0.0,1.6,ENE,ENE
4482,2026-06-02,23:00:00,0.0,1.6,ENE,ENE
4483,2026-06-02,23:15:00,0.0,0.0,,
4484,2026-06-02,23:30:00,0.0,0.0,,
4485,2026-06-02,23:45:00,0.0,1.6,N,N
